Case Number,Filing Date,Case Status
19C60719  ,6/21/19,Closed
19C60722  ,6/21/19,Active/C
19C60721  ,6/21/19,Closed
19C60720  ,6/21/19,Closed
19C60725  ,6/21/19,Active/C
19C60723  ,6/21/19,Active
19C60726  ,6/21/19,Active/C
19C60724  ,6/21/19,Closed
19C60731  ,6/21/19,Closed
19C60729  ,6/21/19,Active/C
19C60732  ,6/21/19,Active/C
19C60727  ,6/21/19,Active/C
19C60730  ,6/21/19,Closed
19C60728  ,6/21/19,Active/C
19C60733  ,6/21/19,Active/C
19C60743  ,6/21/19,Active/C
19C60736  ,6/21/19,Active/C
19C60735  ,6/21/19,Active/C
19C60734  ,6/21/19,Closed
19C60737  ,6/21/19,Active/C
19C60742  ,6/21/19,Active/C
19C60741  ,6/21/19,Closed
19C60738  ,6/21/19,Active/C
19C60740  ,6/21/19,Active/C
19C60739  ,6/21/19,Active/C
19C60842  ,6/24/19,Active
19C60843  ,6/24/19,Closed
19C60844  ,6/24/19,Closed
19C60805  ,6/24/19,Closed
19C60804  ,6/24/19,Active/C
19C60797  ,6/24/19,Active/C
19C60807  ,6/24/19,Active/C
19C60809  ,6/24/19,Active/C
19C60810  ,6/24/19,Active/C
19C60816  ,6/24/19,Active
19C60813  ,6/24/19,Closed
19C60817  ,6/24/19,Active/C
19C60814  ,6/24/19,Closed
19C60812  ,6/24/19,Active/C
19C60818  ,6/24/19,Active/C
19C60828  ,6/24/19,Closed
19C60820  ,6/24/19,Active/C
19C60821  ,6/24/19,Closed
19C60822  ,6/24/19,Active/C
19C60826  ,6/24/19,Active/C
19C60824  ,6/24/19,Active/C
19C60825  ,6/24/19,Active/C
19C60827  ,6/24/19,Active/C
19C60796  ,6/24/19,Active/C
19C60938  ,6/25/19,Closed
19C60939  ,6/25/19,Closed
19C60940  ,6/25/19,Closed
19C60894  ,6/25/19,Active/C
19C60895  ,6/25/19,Closed
19C60896  ,6/25/19,Closed
19C60897  ,6/25/19,Closed
19C60903  ,6/25/19,Closed
19C60898  ,6/25/19,Active
19C60902  ,6/25/19,Active/C
19C60900  ,6/25/19,Active/C
19C60901  ,6/25/19,Active
19C60941  ,6/26/19,Active/C
19C60942  ,6/26/19,Active
19C61002  ,6/26/19,Active/C
19C61001  ,6/26/19,Active/C
19C61003  ,6/26/19,Closed
19C61005  ,6/26/19,Closed
19C61004  ,6/26/19,Active/C
19C61006  ,6/26/19,Active/C
19C61008  ,6/26/19,Active/C
19C61007  ,6/26/19,Active/C
19C61013  ,6/26/19,Active/C
19C61009  ,6/26/19,Active/C
19C61010  ,6/26/19,Active/C
19C61012  ,6/26/19,Active/C
19C61011  ,6/26/19,Closed
19C61018  ,6/26/19,Closed
19C61014  ,6/26/19,Closed
19C61016  ,6/26/19,Closed
19C61017  ,6/26/19,Active/C
19C61015  ,6/26/19,Active/C
19C61020  ,6/26/19,Active/C
19C61019  ,6/26/19,Active/C
19C61021  ,6/26/19,Closed
19C61022  ,6/26/19,Closed
19C61024  ,6/26/19,Closed
19C61026  ,6/26/19,Closed
19C61025  ,6/26/19,Active/C
19C61029  ,6/26/19,Active/C
19C61027  ,6/26/19,Closed
19C61028  ,6/26/19,Active/C
19C61034  ,6/26/19,Closed
19C61033  ,6/26/19,Closed
19C61032  ,6/26/19,Active/C
19C61031  ,6/26/19,Closed
19C61030  ,6/26/19,Closed
19C61042  ,6/27/19,Active/C
19C61068  ,6/28/19,Active/C
19C61063  ,6/28/19,Active/C
19C61079  ,6/28/19,Closed
19C61073  ,6/28/19,Active/C
19C61080  ,6/28/19,Active/C
19C61078  ,6/28/19,Active/C
19C61082  ,6/28/19,Closed
19C61081  ,6/28/19,Active/C
19C61077  ,6/28/19,Active/C
19C61075  ,6/28/19,Closed
19C61074  ,6/28/19,Closed
19C61070  ,6/28/19,Active/C
19C61069  ,6/28/19,Closed
19C61076  ,6/28/19,Active/C
19C61066  ,6/28/19,Active/C
19C61064  ,6/28/19,Active/C
19C61071  ,6/28/19,Active/C
19C61072  ,6/28/19,Closed
19C61065  ,6/28/19,Active/C
19C61067  ,6/28/19,Closed
