Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2001,Agri Sci & Natl Res,CER,UNK,M,BLNK,,,* AGRICULTURE CERTIFICATE,1
2001,Agri Sci & Natl Res,BSAS,HISP,M,ABUS,,,AGRIBUSINESS,1
2001,Agri Sci & Natl Res,BSAS,UNK,M,ABUS,,,AGRIBUSINESS,1
2001,Agri Sci & Natl Res,BSAS,WH,F,ABUS,,,AGRIBUSINESS,9
2001,Agri Sci & Natl Res,BSAS,WH,M,ABUS,,,AGRIBUSINESS,25
2001,Agri Sci & Natl Res,BSAS,WH,F,ABUS,AECN,,AGRIBUSINESS,3
2001,Agri Sci & Natl Res,BSAS,WH,M,ABUS,AECN,,AGRIBUSINESS,8
2001,Agri Sci & Natl Res,BSAS,BLK,F,AECN,,,AGRICULTURAL ECONOMICS,1
2001,Agri Sci & Natl Res,BSAS,WH,F,AECN,,,AGRICULTURAL ECONOMICS,1
2001,Agri Sci & Natl Res,BSAS,WH,M,AECN,,,AGRICULTURAL ECONOMICS,12
2001,Agri Sci & Natl Res,BSAS,WH,M,AECN,ABUS,,AGRICULTURAL ECONOMICS,3
2001,Agri Sci & Natl Res,BSAS,WH,F,AECN,AJRN,,AGRICULTURAL ECONOMICS,1
2001,Agri Sci & Natl Res,BSAS,WH,F,AEDU,,,AGRICULTURAL EDUCATION,4
2001,Agri Sci & Natl Res,BSAS,WH,M,AEDU,,,AGRICULTURAL EDUCATION,9
2001,Agri Sci & Natl Res,BSAS,WH,F,AEDU,AGRO,,AGRICULTURAL EDUCATION,1
2001,Agri Sci & Natl Res,BSAS,WH,F,AEDU,AJRN,,AGRICULTURAL EDUCATION,1
2001,Agri Sci & Natl Res,BSAS,HISP,M,AGRO,,,AGRONOMY,1
2001,Agri Sci & Natl Res,BSAS,WH,F,AGRO,,,AGRONOMY,7
2001,Agri Sci & Natl Res,BSAS,WH,M,AGRO,,,AGRONOMY,28
2001,Agri Sci & Natl Res,BSAS,WH,M,AGRO,ABUS,,AGRONOMY,1
2001,Agri Sci & Natl Res,BSAS,WH,F,AGRO,CROP,,AGRONOMY,1
2001,Agri Sci & Natl Res,BSAS,WH,F,ASCI,,,ANIMAL SCIENCE,9
2001,Agri Sci & Natl Res,BSAS,WH,M,ASCI,,,ANIMAL SCIENCE,22
2001,Agri Sci & Natl Res,BSAS,WH,F,ASCI,AEDU,,ANIMAL SCIENCE,1
2001,Agri Sci & Natl Res,BSAS,WH,M,ASCI,GRLS,,ANIMAL SCIENCE,1
2001,Agri Sci & Natl Res,BSAS,ASI,M,BIOC,,,BIOCHEMISTRY,1
2001,Agri Sci & Natl Res,BSAS,UNK,M,BIOC,,,BIOCHEMISTRY,1
2001,Agri Sci & Natl Res,BSAS,WH,F,BIOC,,,BIOCHEMISTRY,2
2001,Agri Sci & Natl Res,BSAS,WH,M,BIOC,,,BIOCHEMISTRY,4
2001,Agri Sci & Natl Res,BSAS,UNK,F,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,1
2001,Agri Sci & Natl Res,BSAS,WH,F,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,3
2001,Agri Sci & Natl Res,BSAS,WH,M,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,34
2001,Agri Sci & Natl Res,BSNR,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,7
2001,Agri Sci & Natl Res,BSNR,WH,F,FWL,,,FISHERIES AND WILDLIFE,5
2001,Agri Sci & Natl Res,BSNR,WH,M,FWL,,,FISHERIES AND WILDLIFE,12
2001,Agri Sci & Natl Res,BSAS,ASI,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
2001,Agri Sci & Natl Res,BSAS,WH,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,3
2001,Agri Sci & Natl Res,BSAS,WH,F,GRLS,ASCI,,GRAZING LIVESTOCK SYSTEMS,1
2001,Agri Sci & Natl Res,BSAS,UNK,M,HORT,,,HORTICULTURE,1
2001,Agri Sci & Natl Res,BSAS,WH,F,HORT,,,HORTICULTURE,4
2001,Agri Sci & Natl Res,BSAS,WH,M,HORT,,,HORTICULTURE,17
2001,Agri Sci & Natl Res,BSAS,WH,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,16
2001,Agri Sci & Natl Res,BSNR,UNK,M,RNGE,,,RANGE SCIENCE,1
2001,Agri Sci & Natl Res,BSAS,WH,F,VBMS,,,VETERINARY SCIENCE,6
2001,Agri Sci & Natl Res,BSAS,WH,M,VBMS,,,VETERINARY SCIENCE,6
2001,Agri Sci & Natl Res,BSAS,WH,F,VETT,,,VETERINARY TECHNOLOGIST,2
2001,Agri Sci & Natl Res,BSNR,WH,F,WATR,,,WATER SCIENCE,2
2001,Agri Sci & Natl Res,BSNR,WH,M,WATR,,,WATER SCIENCE,6
2001,Agri Sci & Natl Res,BSNR,WH,M,WATR,ENVR,,WATER SCIENCE,1
2001,"Architecture
",BSD,ASI,F,ARCS,,,ARCHITECTURAL STUDIES,1
2001,"Architecture
",BSD,ASI,M,ARCS,,,ARCHITECTURAL STUDIES,2
2001,"Architecture
",BSD,BLK,F,ARCS,,,ARCHITECTURAL STUDIES,1
2001,"Architecture
",BSD,BLK,M,ARCS,,,ARCHITECTURAL STUDIES,2
2001,"Architecture
",BSD,HISP,F,ARCS,,,ARCHITECTURAL STUDIES,1
2001,"Architecture
",BSD,UNK,F,ARCS,,,ARCHITECTURAL STUDIES,2
2001,"Architecture
",BSD,UNK,M,ARCS,,,ARCHITECTURAL STUDIES,2
2001,"Architecture
",BSD,WH,F,ARCS,,,ARCHITECTURAL STUDIES,10
2001,"Architecture
",BSD,WH,M,ARCS,,,ARCHITECTURAL STUDIES,23
2001,"Architecture
",BSD,WH,F,ARCI,,,ARCHITECTURAL STUDIES (INTERIOR DESIGN ONLY),3
2001,"Architecture
",MARC,ASI,F,ARCH,,,ARCHITECTURE,1
2001,"Architecture
",MARC,ASI,M,ARCH,,,ARCHITECTURE,1
2001,"Architecture
",MARC,WH,F,ARCH,,,ARCHITECTURE,4
2001,"Architecture
",MARC,WH,M,ARCH,,,ARCHITECTURE,23
2001,"Architecture
",BSD,WH,F,IDES,,,INTERIOR DESIGN,14
2001,"Arts & Sciences
",BA,WH,M,INTA,,,* INTERNATIONAL AFFAIRS,1
2001,"Arts & Sciences
",BS,WH,M,ACTS,,,ACTUARIAL SCIENCE,1
2001,"Arts & Sciences
",BA,HISP,M,ANTH,,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BA,UNK,F,ANTH,,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BA,UNK,M,ANTH,,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BS,WH,F,ANTH,,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BA,WH,F,ANTH,,,ANTHROPOLOGY,6
2001,"Arts & Sciences
",BA,WH,M,ANTH,,,ANTHROPOLOGY,9
2001,"Arts & Sciences
",BA,WH,F,ANTH,CLAS,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BA,WH,F,ANTH,ENVR,,ANTHROPOLOGY,1
2001,"Arts & Sciences
",BS,ASI,F,BIOC,,,BIOCHEMISTRY,1
