Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2010,Agri Sci & Natl Res,B1AB,NRA,M,ABUS,,,AGRIBUSINESS,1
2010,Agri Sci & Natl Res,B1AB,UNK,F,ABUS,,,AGRIBUSINESS,2
2010,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,7
2010,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,14
2010,Agri Sci & Natl Res,B1AE,UNK,F,AECN,,,AGRICULTURAL ECONOMICS,1
2010,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,8
2010,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,25
2010,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,9
2010,Agri Sci & Natl Res,B1ED,WH,M,AEDU,,,AGRICULTURAL EDUCATION,8
2010,Agri Sci & Natl Res,B1AJ,WH,F,AJRN,,,AGRICULTURAL JOURNALISM,6
2010,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,3
2010,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,28
2010,Agri Sci & Natl Res,B1AS,BLK,F,ASCI,,,ANIMAL SCIENCE,1
2010,Agri Sci & Natl Res,B1AS,NRA,F,ASCI,,,ANIMAL SCIENCE,1
2010,Agri Sci & Natl Res,B1AS,UNK,F,ASCI,,,ANIMAL SCIENCE,1
2010,Agri Sci & Natl Res,B1AS,UNK,M,ASCI,,,ANIMAL SCIENCE,1
2010,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,34
2010,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,30
2010,Agri Sci & Natl Res,B1AP,WH,M,APSC,,,APPLIED SCIENCE,1
2010,Agri Sci & Natl Res,B1BC,ASI,F,BIOC,,,BIOCHEMISTRY,1
2010,Agri Sci & Natl Res,B1BC,NRA,F,BIOC,,,BIOCHEMISTRY,1
2010,Agri Sci & Natl Res,B1BC,2+,M,BIOC,,,BIOCHEMISTRY,1
2010,Agri Sci & Natl Res,B1BC,UNK,F,BIOC,,,BIOCHEMISTRY,1
2010,Agri Sci & Natl Res,B1BC,UNK,M,BIOC,,,BIOCHEMISTRY,1
2010,Agri Sci & Natl Res,B1BC,WH,F,BIOC,,,BIOCHEMISTRY,7
2010,Agri Sci & Natl Res,B1BC,WH,M,BIOC,,,BIOCHEMISTRY,9
2010,Agri Sci & Natl Res,B1DA,WH,M,DVAG,,,DIVERSIFIED AGRICULTURAL STDS,14
2010,Agri Sci & Natl Res,B1ER,UNK,M,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2010,Agri Sci & Natl Res,B1ER,WH,F,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2010,Agri Sci & Natl Res,B1ES,AI/AN,F,ENVR,,,ENVIRONMENTAL STUDIES,1
2010,Agri Sci & Natl Res,B1ES,ASI,M,ENVR,,,ENVIRONMENTAL STUDIES,1
2010,Agri Sci & Natl Res,B1ES,UNK,M,ENVR,,,ENVIRONMENTAL STUDIES,1
2010,Agri Sci & Natl Res,B1ES,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,2
2010,Agri Sci & Natl Res,B1ES,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,10
2010,Agri Sci & Natl Res,B1FW,ASI,M,FWL,,,FISHERIES AND WILDLIFE,1
2010,Agri Sci & Natl Res,B1FW,HISP,F,FWL,,,FISHERIES AND WILDLIFE,1
2010,Agri Sci & Natl Res,B1FW,HISP,M,FWL,,,FISHERIES AND WILDLIFE,1
2010,Agri Sci & Natl Res,B1FW,2+,F,FWL,,,FISHERIES AND WILDLIFE,1
2010,Agri Sci & Natl Res,B1FW,UNK,M,FWL,,,FISHERIES AND WILDLIFE,1
2010,Agri Sci & Natl Res,B1FW,WH,F,FWL,,,FISHERIES AND WILDLIFE,16
2010,Agri Sci & Natl Res,B1FW,WH,M,FWL,,,FISHERIES AND WILDLIFE,27
2010,Agri Sci & Natl Res,B1FS,NRA,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
2010,Agri Sci & Natl Res,B1FS,WH,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,11
2010,Agri Sci & Natl Res,B1FS,WH,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
2010,Agri Sci & Natl Res,B1FO,ASI,F,FORS,,,FORENSIC SCIENCE,1
2010,Agri Sci & Natl Res,B1FO,ASI,M,FORS,,,FORENSIC SCIENCE,1
2010,Agri Sci & Natl Res,B1FO,UNK,F,FORS,,,FORENSIC SCIENCE,1
2010,Agri Sci & Natl Res,B1FO,WH,F,FORS,,,FORENSIC SCIENCE,8
2010,Agri Sci & Natl Res,B1FO,WH,M,FORS,,,FORENSIC SCIENCE,4
2010,Agri Sci & Natl Res,B1GE,WH,M,GECM,,,GRASSLAND ECOLOGY & MANAGEMENT,1
2010,Agri Sci & Natl Res,B1GL,WH,M,GRLS,,,GRAZING LIVESTOCK SYSTEMS,3
2010,Agri Sci & Natl Res,B1HO,WH,F,HORT,,,HORTICULTURE,4
2010,Agri Sci & Natl Res,B1HO,WH,M,HORT,,,HORTICULTURE,8
2010,Agri Sci & Natl Res,B1HR,WH,F,HRTA,,,HRTM-(ECOTOURISM/PARKS &RECREATION OPTIONS ONLY),2
2010,Agri Sci & Natl Res,B1IS,UNK,F,INSC,,,INSECT SCIENCE,1
2010,Agri Sci & Natl Res,B1IS,WH,F,INSC,,,INSECT SCIENCE,2
2010,Agri Sci & Natl Res,B1IS,WH,M,INSC,,,INSECT SCIENCE,1
2010,Agri Sci & Natl Res,B1MS,HISP,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,1
2010,Agri Sci & Natl Res,B1MS,UNK,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,1
2010,Agri Sci & Natl Res,B1MS,WH,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,18
2010,Agri Sci & Natl Res,B1NE,WH,F,NREE,,,NATURAL RES & ENVIRON ECONOMIC,1
2010,Agri Sci & Natl Res,B1PM,WH,M,PGAM,,,PGA GOLF MANAGEMENT,26
2010,Agri Sci & Natl Res,B1PB,HISP,M,PBIO,,,PLANT BIOLOGY,1
2010,Agri Sci & Natl Res,B1PB,WH,F,PBIO,,,PLANT BIOLOGY,2
2010,Agri Sci & Natl Res,B1PB,WH,M,PBIO,,,PLANT BIOLOGY,1
2010,Agri Sci & Natl Res,B1PP,WH,F,PLPS,,,PLANT PROTECTION SCIENCES,1
2010,Agri Sci & Natl Res,B1TL,WH,M,TLMT,,,TURFGRASS AND LANDSCAPE MNGT,7
2010,Agri Sci & Natl Res,B1VS,2+,F,VBMS,,,VETERINARY SCIENCE,2
2010,Agri Sci & Natl Res,B1VS,UNK,F,VBMS,,,VETERINARY SCIENCE,1
2010,Agri Sci & Natl Res,B1VS,WH,F,VBMS,,,VETERINARY SCIENCE,9
2010,Agri Sci & Natl Res,B1VS,WH,M,VBMS,,,VETERINARY SCIENCE,1
2010,Agri Sci & Natl Res,B1VT,UNK,F,VETH,,,VETERINARY TECHNOLOGY,1
2010,Agri Sci & Natl Res,B1WS,WH,F,WATR,,,WATER SCIENCE,2
2010,"Architecture
",BSD,ASI,F,ARCS,,,ARCHITECTURAL STUDIES,1
2010,"Architecture
",BSD,HISP,F,ARCS,,,ARCHITECTURAL STUDIES,1
2010,"Architecture
",BSD,HISP,M,ARCS,,,ARCHITECTURAL STUDIES,3
2010,"Architecture
",BSD,WH,F,ARCS,,,ARCHITECTURAL STUDIES,10
2010,"Architecture
",BSD,WH,M,ARCS,,,ARCHITECTURAL STUDIES,27
2010,"Architecture
",MARC,ASI,F,ARCH,,,ARCHITECTURE,1
2010,"Architecture
",MARC,ASI,M,ARCH,,,ARCHITECTURE,1
2010,"Architecture
",MARC,HISP,F,ARCH,,,ARCHITECTURE,2
2010,"Architecture
",MARC,HISP,M,ARCH,,,ARCHITECTURE,1
2010,"Architecture
",MARC,2+,F,ARCH,,,ARCHITECTURE,1
2010,"Architecture
",MARC,2+,M,ARCH,,,ARCHITECTURE,1
2010,"Architecture
",MARC,UNK,M,ARCH,,,ARCHITECTURE,2
2010,"Architecture
",MARC,WH,F,ARCH,,,ARCHITECTURE,14
2010,"Architecture
",MARC,WH,M,ARCH,,,ARCHITECTURE,26
2010,"Architecture
",BSD,ASI,F,IDES,,,INTERIOR DESIGN,1
2010,"Architecture
",BSD,ASI,M,IDES,,,INTERIOR DESIGN,1
2010,"Architecture
",BSD,NRA,F,IDES,,,INTERIOR DESIGN,1
2010,"Architecture
",BSD,UNK,F,IDES,,,INTERIOR DESIGN,1
2010,"Architecture
",BSD,WH,F,IDES,,,INTERIOR DESIGN,25
2010,"Architecture
",BSD,UNK,M,LARS,,,LANDSCAPE ARCHITECTURAL STDS,1
2010,"Architecture
",BSD,WH,F,LARS,,,LANDSCAPE ARCHITECTURAL STDS,1
2010,"Architecture
",BSD,WH,M,LARS,,,LANDSCAPE ARCHITECTURAL STDS,7
2010,"Architecture
",BLA,UNK,M,LAND,,,LANDSCAPE ARCHITECTURE,1
2010,"Architecture
",BLA,WH,F,LAND,,,LANDSCAPE ARCHITECTURE,1
2010,"Architecture
",BLA,WH,M,LAND,,,LANDSCAPE ARCHITECTURE,7
2010,"Arts & Sciences
",BS,NRA,F,AACTS,,,ACTUARIAL SCIENCE,1
2010,"Arts & Sciences
",BS,NRA,M,AACTS,,,ACTUARIAL SCIENCE,4
2010,"Arts & Sciences
",BS,WH,F,AACTS,,,ACTUARIAL SCIENCE,1
2010,"Arts & Sciences
",BS,NRA,M,AACTS,AECON,,ACTUARIAL SCIENCE,1
2010,"Arts & Sciences
",BS,NRA,F,AACTS,MATH,,ACTUARIAL SCIENCE,1
2010,"Arts & Sciences
",BS,WH,F,AACTS,MATH,,ACTUARIAL SCIENCE,1
2010,"Arts & Sciences
",BS,HISP,M,ANTH,,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,HISP,M,ANTH,,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,UNK,F,ANTH,,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BS,WH,F,ANTH,,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,F,ANTH,,,ANTHROPOLOGY,3
2010,"Arts & Sciences
",BA,WH,M,ANTH,,,ANTHROPOLOGY,4
2010,"Arts & Sciences
",BA,WH,F,ANTH,AENVR,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,F,ANTH,FA002,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,F,ANTH,INTS,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,M,ANTH,INTS,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,M,ANTH,PHIL,FILM,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BA,WH,F,ANTH,SPAN,,ANTHROPOLOGY,1
2010,"Arts & Sciences
",BS,ASI,F,ABIOC,,,BIOCHEMISTRY,3
2010,"Arts & Sciences
",BS,BLK,M,ABIOC,,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,HISP,F,ABIOC,,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,HISP,M,ABIOC,,,BIOCHEMISTRY,2
2010,"Arts & Sciences
",BS,NRA,M,ABIOC,,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,WH,F,ABIOC,,,BIOCHEMISTRY,8
2010,"Arts & Sciences
",BS,WH,M,ABIOC,,,BIOCHEMISTRY,8
2010,"Arts & Sciences
",BS,NRA,F,ABIOC,BIOS,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,UNK,F,ABIOC,BIOS,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,WH,F,ABIOC,BIOS,PSYC,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,WH,M,ABIOC,CHEM,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,WH,M,ABIOC,POLS,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,WH,F,ABIOC,PSYC,,BIOCHEMISTRY,1
2010,"Arts & Sciences
",BS,ASI,F,BIOS,,,BIOLOGICAL SCIENCES,6
2010,"Arts & Sciences
",BS,ASI,M,BIOS,,,BIOLOGICAL SCIENCES,5
2010,"Arts & Sciences
",BS,BLK,M,BIOS,,,BIOLOGICAL SCIENCES,1
2010,"Arts & Sciences
",BS,HISP,F,BIOS,,,BIOLOGICAL SCIENCES,4
2010,"Arts & Sciences
",BS,HISP,M,BIOS,,,BIOLOGICAL SCIENCES,1
2010,"Arts & Sciences
",BS,NRA,F,BIOS,,,BIOLOGICAL SCIENCES,2
2010,"Arts & Sciences
",BS,NRA,M,BIOS,,,BIOLOGICAL SCIENCES,3
2010,"Arts & Sciences
",BS,UNK,M,BIOS,,,BIOLOGICAL SCIENCES,1
2010,"Arts & Sciences
",BS,WH,F,BIOS,,,BIOLOGICAL SCIENCES,45
