Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2000,Agri Sci & Natl Res,BSAS,HISP,M,ABUS,,,AGRIBUSINESS,1
2000,Agri Sci & Natl Res,BSAS,UNK,M,ABUS,,,AGRIBUSINESS,1
2000,Agri Sci & Natl Res,BSAS,WH,F,ABUS,,,AGRIBUSINESS,7
2000,Agri Sci & Natl Res,BSAS,WH,M,ABUS,,,AGRIBUSINESS,22
2000,Agri Sci & Natl Res,BSAS,UNK,M,ABUS,AECN,,AGRIBUSINESS,2
2000,Agri Sci & Natl Res,BSAS,WH,F,ABUS,AECN,,AGRIBUSINESS,1
2000,Agri Sci & Natl Res,BSAS,WH,M,ABUS,AECN,,AGRIBUSINESS,4
2000,Agri Sci & Natl Res,BSAS,WH,M,ABUS,AEDU,,AGRIBUSINESS,1
2000,Agri Sci & Natl Res,BSAS,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,1
2000,Agri Sci & Natl Res,BSAS,WH,M,AECN,,,AGRICULTURAL ECONOMICS,6
2000,Agri Sci & Natl Res,BSAS,UNK,F,AEDU,,,AGRICULTURAL EDUCATION,1
2000,Agri Sci & Natl Res,BSAS,WH,F,AEDU,,,AGRICULTURAL EDUCATION,11
2000,Agri Sci & Natl Res,BSAS,WH,M,AEDU,,,AGRICULTURAL EDUCATION,7
2000,Agri Sci & Natl Res,BSAS,WH,F,AEDU,AJRN,,AGRICULTURAL EDUCATION,1
2000,Agri Sci & Natl Res,BSAS,UNK,M,AGRO,,,AGRONOMY,1
2000,Agri Sci & Natl Res,BSAS,WH,F,AGRO,,,AGRONOMY,2
2000,Agri Sci & Natl Res,BSAS,WH,M,AGRO,,,AGRONOMY,18
2000,Agri Sci & Natl Res,BSAS,UNK,F,ASCI,,,ANIMAL SCIENCE,2
2000,Agri Sci & Natl Res,BSAS,UNK,M,ASCI,,,ANIMAL SCIENCE,2
2000,Agri Sci & Natl Res,BSAS,WH,F,ASCI,,,ANIMAL SCIENCE,17
2000,Agri Sci & Natl Res,BSAS,WH,M,ASCI,,,ANIMAL SCIENCE,14
2000,Agri Sci & Natl Res,BSAS,WH,M,ASCI,GRLS,,ANIMAL SCIENCE,1
2000,Agri Sci & Natl Res,BSAS,UNK,M,BIOC,,,BIOCHEMISTRY,1
2000,Agri Sci & Natl Res,BSAS,WH,F,BIOC,,,BIOCHEMISTRY,6
2000,Agri Sci & Natl Res,BSAS,WH,M,BIOC,,,BIOCHEMISTRY,7
2000,Agri Sci & Natl Res,BSAS,BLK,M,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,1
2000,Agri Sci & Natl Res,BSAS,UNK,M,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,1
2000,Agri Sci & Natl Res,BSAS,WH,F,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,8
2000,Agri Sci & Natl Res,BSAS,WH,M,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,28
2000,Agri Sci & Natl Res,BSAS,WH,F,DVAG,AJRN,,DIVERSIFIED AGRICULTURAL STUDIES,1
2000,Agri Sci & Natl Res,BSNR,UNK,F,ENVR,,,ENVIRONMENTAL STUDIES,1
2000,Agri Sci & Natl Res,BSNR,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,4
2000,Agri Sci & Natl Res,BSNR,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,4
2000,Agri Sci & Natl Res,BSNR,WH,M,ENVR,SOIL,,ENVIRONMENTAL STUDIES,1
2000,Agri Sci & Natl Res,BSNR,ASI,F,FWL,,,FISHERIES AND WILDLIFE,1
2000,Agri Sci & Natl Res,BSNR,UNK,M,FWL,,,FISHERIES AND WILDLIFE,1
2000,Agri Sci & Natl Res,BSNR,WH,F,FWL,,,FISHERIES AND WILDLIFE,17
2000,Agri Sci & Natl Res,BSNR,WH,M,FWL,,,FISHERIES AND WILDLIFE,14
2000,Agri Sci & Natl Res,BSAS,ASI,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,3
2000,Agri Sci & Natl Res,BSAS,ASI,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
2000,Agri Sci & Natl Res,BSAS,WH,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
2000,Agri Sci & Natl Res,BSAS,WH,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
2000,Agri Sci & Natl Res,BSAS,ASI,F,HORT,,,HORTICULTURE,1
2000,Agri Sci & Natl Res,BSAS,WH,F,HORT,,,HORTICULTURE,10
2000,Agri Sci & Natl Res,BSAS,WH,M,HORT,,,HORTICULTURE,20
2000,Agri Sci & Natl Res,BSAS,WH,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,17
2000,Agri Sci & Natl Res,BSNR,WH,M,NREE,,,NATURAL RESOURCE AND ENVIRONMENTAL ECONOMICS,1
2000,Agri Sci & Natl Res,BSAS,HISP,M,VBMS,,,VETERINARY SCIENCE,1
2000,Agri Sci & Natl Res,BSAS,UNK,F,VBMS,,,VETERINARY SCIENCE,1
2000,Agri Sci & Natl Res,BSAS,WH,F,VBMS,,,VETERINARY SCIENCE,11
2000,Agri Sci & Natl Res,BSAS,WH,M,VBMS,,,VETERINARY SCIENCE,4
2000,Agri Sci & Natl Res,BSAS,WH,F,VETT,,,VETERINARY TECHNOLOGIST,2
2000,Agri Sci & Natl Res,BSAS,WH,M,VETT,,,VETERINARY TECHNOLOGIST,1
2000,Agri Sci & Natl Res,BSNR,WH,M,WATR,,,WATER SCIENCE,3
2000,"Architecture
",BSD,ASI,F,ARCS,,,ARCHITECTURAL STUDIES,1
2000,"Architecture
",BARC,BLK,M,ARCS,,,ARCHITECTURAL STUDIES,1
2000,"Architecture
",BSD,UNK,M,ARCS,,,ARCHITECTURAL STUDIES,1
2000,"Architecture
",BSD,WH,F,ARCS,,,ARCHITECTURAL STUDIES,11
2000,"Architecture
",BSD,WH,M,ARCS,,,ARCHITECTURAL STUDIES,22
2000,"Architecture
",BARC,WH,M,ARCS,,,ARCHITECTURAL STUDIES,4
2000,"Architecture
",BSD,ASI,F,ARCI,,,ARCHITECTURAL STUDIES (INTERIOR DESIGN ONLY),3
