Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2004,Agri Sci & Natl Res,BSAS,WH,F,ABUS,,,AGRIBUSINESS,8
2004,Agri Sci & Natl Res,BSAS,WH,M,ABUS,,,AGRIBUSINESS,18
2004,Agri Sci & Natl Res,BSAS,UNK,M,ABUS,AECN,,AGRIBUSINESS,1
2004,Agri Sci & Natl Res,BSAS,WH,F,ABUS,AECN,,AGRIBUSINESS,8
2004,Agri Sci & Natl Res,BSAS,WH,M,ABUS,AECN,,AGRIBUSINESS,6
2004,Agri Sci & Natl Res,BSAS,UNK,F,AECN,,,AGRICULTURAL ECONOMICS,1
2004,Agri Sci & Natl Res,BSAS,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,2
2004,Agri Sci & Natl Res,BSAS,WH,F,AECN,,,AGRICULTURAL ECONOMICS,5
2004,Agri Sci & Natl Res,BSAS,WH,M,AECN,,,AGRICULTURAL ECONOMICS,16
2004,Agri Sci & Natl Res,BSAS,UNK,M,AECN,ABUS,,AGRICULTURAL ECONOMICS,1
2004,Agri Sci & Natl Res,BSAS,WH,F,AECN,ABUS,,AGRICULTURAL ECONOMICS,1
2004,Agri Sci & Natl Res,BSAS,WH,M,AECN,ABUS,,AGRICULTURAL ECONOMICS,2
2004,Agri Sci & Natl Res,BSAS,UNK,F,AEDU,,,AGRICULTURAL EDUCATION,1
2004,Agri Sci & Natl Res,BSAS,WH,F,AEDU,,,AGRICULTURAL EDUCATION,3
2004,Agri Sci & Natl Res,BSAS,WH,M,AEDU,,,AGRICULTURAL EDUCATION,8
2004,Agri Sci & Natl Res,BSAS,WH,M,AEDU,ABUS,,AGRICULTURAL EDUCATION,1
2004,Agri Sci & Natl Res,BSAS,WH,F,AEDU,DVAG,,AGRICULTURAL EDUCATION,1
2004,Agri Sci & Natl Res,BSAS,WH,F,AJRN,,,AGRICULTURAL JOURNALISM,1
2004,Agri Sci & Natl Res,BSAS,WH,M,AJRN,,,AGRICULTURAL JOURNALISM,2
