Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2019,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,1
2019,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,3
2019,Agri Sci & Natl Res,B1AB,WH,F,ABUS-B1AB,,,AGRIBUSINESS,7
2019,Agri Sci & Natl Res,B1AB,WH,M,ABUS-B1AB,,,AGRIBUSINESS,32
2019,Agri Sci & Natl Res,B1SC,NRA,F,AESC-B1SC,,,AGRICULTURAL & ENV SCI COMM,1
2019,Agri Sci & Natl Res,B1SC,WH,F,AESC-B1SC,,,AGRICULTURAL & ENV SCI COMM,8
2019,Agri Sci & Natl Res,B1SC,WH,M,AESC-B1SC,,,AGRICULTURAL & ENV SCI COMM,1
2019,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,1
2019,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,4
2019,Agri Sci & Natl Res,B1AE,HISP,F,AECN-B1AE,,,AGRICULTURAL ECONOMICS,1
2019,Agri Sci & Natl Res,B1AE,NRA,F,AECN-B1AE,,,AGRICULTURAL ECONOMICS,2
2019,Agri Sci & Natl Res,B1AE,UNK,M,AECN-B1AE,,,AGRICULTURAL ECONOMICS,1
2019,Agri Sci & Natl Res,B1AE,WH,F,AECN-B1AE,,,AGRICULTURAL ECONOMICS,6
2019,Agri Sci & Natl Res,B1AE,WH,M,AECN-B1AE,,,AGRICULTURAL ECONOMICS,25
2019,Agri Sci & Natl Res,B1ED,WH,M,AEDU,COEA,,AGRICULTURAL EDUCATION,2
2019,Agri Sci & Natl Res,B1ED,2+,F,AEDU-B1ED,,,AGRICULTURAL EDUCATION,1
2019,Agri Sci & Natl Res,B1ED,WH,F,AEDU-B1ED,,,AGRICULTURAL EDUCATION,15
2019,Agri Sci & Natl Res,B1ED,WH,M,AEDU-B1ED,,,AGRICULTURAL EDUCATION,14
2019,Agri Sci & Natl Res,B1ED,WH,F,AEDU-B1ED,COEA-MAJ,,AGRICULTURAL EDUCATION,3
2019,Agri Sci & Natl Res,B1ED,WH,M,AEDU-B1ED,COEA-MAJ,,AGRICULTURAL EDUCATION,2
2019,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,1
2019,Agri Sci & Natl Res,B1AG,HISP,M,AGRO-B1AG,,,AGRONOMY,1
2019,Agri Sci & Natl Res,B1AG,NRA,F,AGRO-B1AG,,,AGRONOMY,1
2019,Agri Sci & Natl Res,B1AG,WH,F,AGRO-B1AG,,,AGRONOMY,3
2019,Agri Sci & Natl Res,B1AG,WH,M,AGRO-B1AG,,,AGRONOMY,31
2019,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,4
2019,Agri Sci & Natl Res,B1AS,HISP,F,ASCI-B1AS,,,ANIMAL SCIENCE,1
2019,Agri Sci & Natl Res,B1AS,HISP,M,ASCI-B1AS,,,ANIMAL SCIENCE,1
2019,Agri Sci & Natl Res,B1AS,WH,F,ASCI-B1AS,,,ANIMAL SCIENCE,51
2019,Agri Sci & Natl Res,B1AS,WH,M,ASCI-B1AS,,,ANIMAL SCIENCE,17
2019,Agri Sci & Natl Res,B1AC,WH,M,APCS-B1AC,,,APPLIED CLIMATE SCIENCE,1
2019,Agri Sci & Natl Res,B1AP,BLK,F,APSC,,,APPLIED SCIENCE,1
2019,Agri Sci & Natl Res,B1AP,WH,F,APSC,,,APPLIED SCIENCE,1
2019,Agri Sci & Natl Res,B1AP,WH,M,APSC,,,APPLIED SCIENCE,3
2019,Agri Sci & Natl Res,B1AP,WH,F,APSC-B1AP,,,APPLIED SCIENCE,3
2019,Agri Sci & Natl Res,B1AP,WH,M,APSC-B1AP,,,APPLIED SCIENCE,12
2019,Agri Sci & Natl Res,B1BC,WH,M,BIOC,,,BIOCHEMISTRY,1
2019,Agri Sci & Natl Res,B1BC,AI/AN,F,BIOC-B1BC,,,BIOCHEMISTRY,1
2019,Agri Sci & Natl Res,B1BC,ASI,F,BIOC-B1BC,,,BIOCHEMISTRY,1
2019,Agri Sci & Natl Res,B1BC,NRA,F,BIOC-B1BC,,,BIOCHEMISTRY,3
2019,Agri Sci & Natl Res,B1BC,NRA,M,BIOC-B1BC,,,BIOCHEMISTRY,1
2019,Agri Sci & Natl Res,B1BC,UNK,M,BIOC-B1BC,,,BIOCHEMISTRY,1
2019,Agri Sci & Natl Res,B1BC,WH,F,BIOC-B1BC,,,BIOCHEMISTRY,15
2019,Agri Sci & Natl Res,B1BC,WH,M,BIOC-B1BC,,,BIOCHEMISTRY,10
2019,Agri Sci & Natl Res,B1ER,WH,M,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2019,Agri Sci & Natl Res,B1ER,WH,F,ENRS-B1ER,,,ENVIRONMENTAL RESTORATION SCI,4
2019,Agri Sci & Natl Res,B1ER,WH,M,ENRS-B1ER,,,ENVIRONMENTAL RESTORATION SCI,4
2019,Agri Sci & Natl Res,B1ES,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,2
2019,Agri Sci & Natl Res,B1ES,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,1
2019,Agri Sci & Natl Res,B1ES,NRA,F,ENVR-B1ES,,,ENVIRONMENTAL STUDIES,1
2019,Agri Sci & Natl Res,B1ES,2+,F,ENVR-B1ES,,,ENVIRONMENTAL STUDIES,1
2019,Agri Sci & Natl Res,B1ES,2+,M,ENVR-B1ES,,,ENVIRONMENTAL STUDIES,1
2019,Agri Sci & Natl Res,B1ES,WH,F,ENVR-B1ES,,,ENVIRONMENTAL STUDIES,11
2019,Agri Sci & Natl Res,B1ES,WH,M,ENVR-B1ES,,,ENVIRONMENTAL STUDIES,12
2019,Agri Sci & Natl Res,B1FW,WH,F,FWL,,,FISHERIES AND WILDLIFE,1
2019,Agri Sci & Natl Res,B1FW,AI/AN,M,FWL-B1FW,,,FISHERIES AND WILDLIFE,1
