Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2006,Agri Sci & Natl Res,B1AB,UNK,F,ABUS,,,AGRIBUSINESS,1
2006,Agri Sci & Natl Res,B1AB,UNK,M,ABUS,,,AGRIBUSINESS,1
2006,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,6
2006,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,20
2006,Agri Sci & Natl Res,B1AE,HISP,M,AECN,,,AGRICULTURAL ECONOMICS,1
2006,Agri Sci & Natl Res,B1AE,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,2
2006,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,1
2006,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,13
2006,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,10
2006,Agri Sci & Natl Res,B1ED,WH,M,AEDU,,,AGRICULTURAL EDUCATION,6
2006,Agri Sci & Natl Res,B1AJ,WH,F,AJRN,,,AGRICULTURAL JOURNALISM,1
2006,Agri Sci & Natl Res,B1AJ,WH,M,AJRN,,,AGRICULTURAL JOURNALISM,1
2006,Agri Sci & Natl Res,B1AG,UNK,M,AGRO,,,AGRONOMY,1
2006,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,1
2006,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,15
2006,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,26
2006,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,17
2006,Agri Sci & Natl Res,B1BC,AI/AN,F,BIOC,,,BIOCHEMISTRY,1
2006,Agri Sci & Natl Res,B1BC,ASI,F,BIOC,,,BIOCHEMISTRY,2
2006,Agri Sci & Natl Res,B1BC,BLK,F,BIOC,,,BIOCHEMISTRY,1
