Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2013,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,18
2013,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,27
2013,Agri Sci & Natl Res,B1AE,HISP,M,AECN,,,AGRICULTURAL ECONOMICS,1
2013,Agri Sci & Natl Res,B1AE,UNK,F,AECN,,,AGRICULTURAL ECONOMICS,1
2013,Agri Sci & Natl Res,B1AE,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,1
2013,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,9
2013,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,35
2013,Agri Sci & Natl Res,B1ED,UNK,F,AEDU,,,AGRICULTURAL EDUCATION,1
2013,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,11
2013,Agri Sci & Natl Res,B1ED,WH,M,AEDU,,,AGRICULTURAL EDUCATION,7
2013,Agri Sci & Natl Res,B1ED,WH,F,AEDU,COEA,,AGRICULTURAL EDUCATION,1
2013,Agri Sci & Natl Res,B1ED,WH,M,AEDU,COEA,,AGRICULTURAL EDUCATION,1
2013,Agri Sci & Natl Res,B1AJ,2+,F,AJRN,,,AGRICULTURAL JOURNALISM,1
2013,Agri Sci & Natl Res,B1AJ,WH,F,AJRN,,,AGRICULTURAL JOURNALISM,5
2013,Agri Sci & Natl Res,B1AJ,WH,M,AJRN,,,AGRICULTURAL JOURNALISM,1
2013,Agri Sci & Natl Res,B1AG,HISP,F,AGRO,,,AGRONOMY,1
2013,Agri Sci & Natl Res,B1AG,HISP,M,AGRO,,,AGRONOMY,1
2013,Agri Sci & Natl Res,B1AG,UNK,M,AGRO,,,AGRONOMY,2
2013,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,2
2013,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,38
2013,Agri Sci & Natl Res,B1AS,HISP,F,ASCI,,,ANIMAL SCIENCE,1
2013,Agri Sci & Natl Res,B1AS,NRA,M,ASCI,,,ANIMAL SCIENCE,1
2013,Agri Sci & Natl Res,B1AS,2+,F,ASCI,,,ANIMAL SCIENCE,1
2013,Agri Sci & Natl Res,B1AS,UNK,F,ASCI,,,ANIMAL SCIENCE,1
2013,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,42
2013,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,20
2013,Agri Sci & Natl Res,B1AP,BLK,M,APSC,,,APPLIED SCIENCE,1
2013,Agri Sci & Natl Res,B1AP,WH,F,APSC,,,APPLIED SCIENCE,2
2013,Agri Sci & Natl Res,B1AP,WH,M,APSC,,,APPLIED SCIENCE,8
2013,Agri Sci & Natl Res,B1BC,HISP,F,BIOC,,,BIOCHEMISTRY,1
2013,Agri Sci & Natl Res,B1BC,HISP,M,BIOC,,,BIOCHEMISTRY,1
2013,Agri Sci & Natl Res,B1BC,NRA,F,BIOC,,,BIOCHEMISTRY,1
2013,Agri Sci & Natl Res,B1BC,2+,M,BIOC,,,BIOCHEMISTRY,1
2013,Agri Sci & Natl Res,B1BC,WH,F,BIOC,,,BIOCHEMISTRY,10
2013,Agri Sci & Natl Res,B1BC,WH,M,BIOC,,,BIOCHEMISTRY,10
2013,Agri Sci & Natl Res,B1DA,WH,M,DVAG,,,DIVERSIFIED AGRICULTURAL STDS,1
2013,Agri Sci & Natl Res,B1ER,WH,F,ENRS,,,ENVIRONMENTAL RESTORATION SCI,1
2013,Agri Sci & Natl Res,B1ES,ASI,F,ENVR,,,ENVIRONMENTAL STUDIES,2
2013,Agri Sci & Natl Res,B1ES,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,6
2013,Agri Sci & Natl Res,B1ES,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,12
2013,Agri Sci & Natl Res,B1FW,BLK,F,FWL,,,FISHERIES AND WILDLIFE,1
2013,Agri Sci & Natl Res,B1FW,HISP,M,FWL,,,FISHERIES AND WILDLIFE,1
