Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
1998,Agri Sci & Natl Res,BSAS,WH,F,AGRI,,,* GENERAL AGRICULTURE,1
1998,Agri Sci & Natl Res,BSAS,WH,M,AGRI,,,* GENERAL AGRICULTURE,3
1998,Agri Sci & Natl Res,BSAS,WH,F,ABUS,,,AGRIBUSINESS,10
1998,Agri Sci & Natl Res,BSAS,WH,M,ABUS,,,AGRIBUSINESS,24
1998,Agri Sci & Natl Res,BSAS,WH,M,ABUS,AECN,,AGRIBUSINESS,1
1998,Agri Sci & Natl Res,BSAS,ASI,M,AECN,,,AGRICULTURAL ECONOMICS,1
1998,Agri Sci & Natl Res,BSAS,UNK,M,AECN,,,AGRICULTURAL ECONOMICS,2
1998,Agri Sci & Natl Res,BSAS,WH,F,AECN,,,AGRICULTURAL ECONOMICS,5
1998,Agri Sci & Natl Res,BSAS,WH,M,AECN,,,AGRICULTURAL ECONOMICS,12
1998,Agri Sci & Natl Res,BSAS,HISP,F,AEDU,,,AGRICULTURAL EDUCATION,1
1998,Agri Sci & Natl Res,BSAS,UNK,F,AEDU,,,AGRICULTURAL EDUCATION,1
1998,Agri Sci & Natl Res,BSAS,UNK,M,AEDU,,,AGRICULTURAL EDUCATION,1
1998,Agri Sci & Natl Res,BSAS,WH,F,AEDU,,,AGRICULTURAL EDUCATION,5
1998,Agri Sci & Natl Res,BSAS,WH,M,AEDU,,,AGRICULTURAL EDUCATION,6
1998,Agri Sci & Natl Res,BSAS,WH,F,AJRN,DVAG,,AGRICULTURAL JOURNALISM,2
1998,Agri Sci & Natl Res,BSAS,WH,F,AGRO,,,AGRONOMY,5
1998,Agri Sci & Natl Res,BSAS,WH,M,AGRO,,,AGRONOMY,21
1998,Agri Sci & Natl Res,BSAS,WH,M,AGRO,ABUS,,AGRONOMY,1
1998,Agri Sci & Natl Res,BSAS,WH,M,AGRO,AECN,,AGRONOMY,1
1998,Agri Sci & Natl Res,BSAS,UNK,M,ASCI,,,ANIMAL SCIENCE,1
1998,Agri Sci & Natl Res,BSAS,WH,F,ASCI,,,ANIMAL SCIENCE,15
1998,Agri Sci & Natl Res,BSAS,WH,M,ASCI,,,ANIMAL SCIENCE,30
1998,Agri Sci & Natl Res,BSAS,WH,M,ASCI,ABUS,,ANIMAL SCIENCE,1
1998,Agri Sci & Natl Res,BSAS,WH,F,BIOC,,,BIOCHEMISTRY,5
1998,Agri Sci & Natl Res,BSAS,WH,M,BIOC,,,BIOCHEMISTRY,5
1998,Agri Sci & Natl Res,BSAS,WH,M,CROP,,,CROP PROTECTION,2
1998,Agri Sci & Natl Res,BSAS,WH,F,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,4
1998,Agri Sci & Natl Res,BSAS,WH,M,DVAG,,,DIVERSIFIED AGRICULTURAL STUDIES,28
1998,Agri Sci & Natl Res,BSNR,UNK,M,ENVR,,,ENVIRONMENTAL STUDIES,1
1998,Agri Sci & Natl Res,BSNR,WH,F,ENVR,,,ENVIRONMENTAL STUDIES,5
1998,Agri Sci & Natl Res,BSNR,WH,M,ENVR,,,ENVIRONMENTAL STUDIES,7
1998,Agri Sci & Natl Res,BSNR,ASI,F,FWL,,,FISHERIES AND WILDLIFE,1
1998,Agri Sci & Natl Res,BSNR,UNK,M,FWL,,,FISHERIES AND WILDLIFE,1
1998,Agri Sci & Natl Res,BSNR,WH,F,FWL,,,FISHERIES AND WILDLIFE,12
1998,Agri Sci & Natl Res,BSNR,WH,M,FWL,,,FISHERIES AND WILDLIFE,20
1998,Agri Sci & Natl Res,BSAS,ASI,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,1
1998,Agri Sci & Natl Res,BSAS,WH,F,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
1998,Agri Sci & Natl Res,BSAS,WH,M,FDST,,,FOOD SCIENCE AND TECHNOLOGY,2
1998,Agri Sci & Natl Res,BSAS,WH,F,HORT,,,HORTICULTURE,7
1998,Agri Sci & Natl Res,BSAS,WH,M,HORT,,,HORTICULTURE,9
1998,Agri Sci & Natl Res,BSAS,WH,M,MSYM,,,MECHANIZED SYSTEMS MANAGEMENT,12
1998,Agri Sci & Natl Res,BSAS,WH,F,VBMS,,,VETERINARY SCIENCE,10
1998,Agri Sci & Natl Res,BSAS,WH,M,VBMS,,,VETERINARY SCIENCE,7
1998,Agri Sci & Natl Res,BSNR,WH,F,WATR,,,WATER SCIENCE,2
1998,Agri Sci & Natl Res,BSNR,WH,M,WATR,,,WATER SCIENCE,1
1998,"Architecture
",BARC,ASI,M,ARCS,,,ARCHITECTURAL STUDIES,2
1998,"Architecture
",BARC,BLK,F,ARCS,,,ARCHITECTURAL STUDIES,1
1998,"Architecture
",BARC,UNK,F,ARCS,,,ARCHITECTURAL STUDIES,1
1998,"Architecture
",BARC,WH,F,ARCS,,,ARCHITECTURAL STUDIES,18
1998,"Architecture
",BARC,WH,M,ARCS,,,ARCHITECTURAL STUDIES,19
1998,"Architecture
",MARC,WH,F,ARCH,,,ARCHITECTURE,4
1998,"Architecture
",MARC,WH,M,ARCH,,,ARCHITECTURE,18
1998,"Arts & Sciences
",BA,BLK,M,PGEN,,,* PSYCHOLOGY - GENERAL STUDIES,1
1998,"Arts & Sciences
",BA,UNK,F,PGEN,,,* PSYCHOLOGY - GENERAL STUDIES,1
1998,"Arts & Sciences
",BA,WH,F,PGEN,,,* PSYCHOLOGY - GENERAL STUDIES,1
1998,"Arts & Sciences
",BA,WH,F,PGEN,SOCI,,* PSYCHOLOGY - GENERAL STUDIES,1
1998,"Arts & Sciences
",BA,WH,M,SPCM,,,* SPEECH COMMUNICATION,1
1998,"Arts & Sciences
",BS,HISP,M,ACTS,,,ACTUARIAL SCIENCE,1
1998,"Arts & Sciences
",BA,HISP,F,ANTH,,,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BA,UNK,F,ANTH,,,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BA,WH,F,ANTH,,,ANTHROPOLOGY,12
1998,"Arts & Sciences
",BA,WH,M,ANTH,,,ANTHROPOLOGY,8
1998,"Arts & Sciences
",BA,WH,F,ANTH,ITGS,,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BA,UNK,F,ANTH,SOCI,,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BA,WH,M,ANTH,SOCI,,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BA,WH,M,ANTH,SPAN,LAMS,ANTHROPOLOGY,1
1998,"Arts & Sciences
",BS,ASI,F,BIOC,,,BIOCHEMISTRY,1
1998,"Arts & Sciences
",BS,ASI,M,BIOC,,,BIOCHEMISTRY,1
1998,"Arts & Sciences
",BS,BLK,F,BIOC,,,BIOCHEMISTRY,1
1998,"Arts & Sciences
",BS,UNK,F,BIOC,,,BIOCHEMISTRY,2
1998,"Arts & Sciences
",BS,WH,F,BIOC,,,BIOCHEMISTRY,7
1998,"Arts & Sciences
",BS,WH,M,BIOC,,,BIOCHEMISTRY,13
1998,"Arts & Sciences
",BS,WH,M,BIOC,BIOS,,BIOCHEMISTRY,2
1998,"Arts & Sciences
",BS,WH,F,BIOC,CHEM,,BIOCHEMISTRY,1
1998,"Arts & Sciences
",BS,WH,F,BIOC,CHEM,BIOS,BIOCHEMISTRY,1
1998,"Arts & Sciences
",BS,ASI,F,BIOS,,,BIOLOGICAL SCIENCES,4
1998,"Arts & Sciences
",BS,BLK,F,BIOS,,,BIOLOGICAL SCIENCES,2
1998,"Arts & Sciences
",BS,HISP,M,BIOS,,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,UNK,F,BIOS,,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,UNK,M,BIOS,,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,WH,F,BIOS,,,BIOLOGICAL SCIENCES,65
1998,"Arts & Sciences
",BS,WH,M,BIOS,,,BIOLOGICAL SCIENCES,60
1998,"Arts & Sciences
",BS,WH,F,BIOS,ANTH,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,WH,M,BIOS,PSYC,,BIOLOGICAL SCIENCES,2
1998,"Arts & Sciences
",BS,WH,F,BIOS,SOCI,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,UNK,F,BIOS,SPAN,,BIOLOGICAL SCIENCES,1
1998,"Arts & Sciences
",BS,UNK,M,CHEM,,,CHEMISTRY,1
1998,"Arts & Sciences
",BS,WH,F,CHEM,,,CHEMISTRY,1
1998,"Arts & Sciences
",BA,WH,F,CHEM,,,CHEMISTRY,1
1998,"Arts & Sciences
",BS,WH,M,CHEM,,,CHEMISTRY,2
1998,"Arts & Sciences
",BA,WH,F,COMM,,,COMMUNICATION STUDIES,42
1998,"Arts & Sciences
",BA,WH,M,COMM,,,COMMUNICATION STUDIES,19
1998,"Arts & Sciences
",BS,ASI,F,COMP,,,COMPUTER SCIENCE,2
1998,"Arts & Sciences
",BS,ASI,M,COMP,,,COMPUTER SCIENCE,6
1998,"Arts & Sciences
",BS,WH,F,COMP,,,COMPUTER SCIENCE,2
1998,"Arts & Sciences
",BS,WH,M,COMP,,,COMPUTER SCIENCE,13
1998,"Arts & Sciences
",BS,WH,F,COMP,GERM,,COMPUTER SCIENCE,1
1998,"Arts & Sciences
",BS,WH,M,COMP,MATH,,COMPUTER SCIENCE,7
1998,"Arts & Sciences
",BS,UNK,F,COMP,SPAN,,COMPUTER SCIENCE,1
1998,"Arts & Sciences
",BS,WH,M,DENT,,,DENTISTRY,2
1998,"Arts & Sciences
",BS,WH,F,ECON,,,ECONOMICS,1
1998,"Arts & Sciences
",BA,WH,F,ECON,,,ECONOMICS,2
1998,"Arts & Sciences
",BS,WH,M,ECON,,,ECONOMICS,1
1998,"Arts & Sciences
",BA,WH,M,ECON,,,ECONOMICS,8
1998,"Arts & Sciences
",BA,WH,M,ECON,POLS,HIST,ECONOMICS,1
1998,"Arts & Sciences
",BA,AI/AN,F,ENGL,,,ENGLISH,1
