Year,College,Deg ID,Ethnicity,Gender,Maj 1,Maj 2,Maj 3,Major Name ,Number of Records
2018,Agri Sci & Natl Res,B1AB,WH,F,ABUS,,,AGRIBUSINESS,17
2018,Agri Sci & Natl Res,B1AB,WH,M,ABUS,,,AGRIBUSINESS,31
2018,Agri Sci & Natl Res,B1AB,WH,F,ABUS,CIEN,,AGRIBUSINESS,1
2018,Agri Sci & Natl Res,B1SC,2+,F,AESC,,,AGRICULTURAL & ENV SCI COMM,1
2018,Agri Sci & Natl Res,B1SC,WH,F,AESC,,,AGRICULTURAL & ENV SCI COMM,6
2018,Agri Sci & Natl Res,B1SC,WH,M,AESC,,,AGRICULTURAL & ENV SCI COMM,1
2018,Agri Sci & Natl Res,B1AE,2+,M,AECN,,,AGRICULTURAL ECONOMICS,2
2018,Agri Sci & Natl Res,B1AE,WH,F,AECN,,,AGRICULTURAL ECONOMICS,11
2018,Agri Sci & Natl Res,B1AE,WH,M,AECN,,,AGRICULTURAL ECONOMICS,33
2018,Agri Sci & Natl Res,B1ED,UNK,F,AEDU,,,AGRICULTURAL EDUCATION,1
2018,Agri Sci & Natl Res,B1ED,WH,F,AEDU,,,AGRICULTURAL EDUCATION,6
2018,Agri Sci & Natl Res,B1ED,WH,M,AEDU,,,AGRICULTURAL EDUCATION,1
2018,Agri Sci & Natl Res,B1ED,2+,F,AEDU,COEA,,AGRICULTURAL EDUCATION,1
2018,Agri Sci & Natl Res,B1ED,UNK,F,AEDU,COEA,,AGRICULTURAL EDUCATION,1
2018,Agri Sci & Natl Res,B1ED,WH,F,AEDU,COEA,,AGRICULTURAL EDUCATION,16
2018,Agri Sci & Natl Res,B1ED,WH,M,AEDU,COEA,,AGRICULTURAL EDUCATION,9
2018,Agri Sci & Natl Res,B1AG,NRA,F,AGRO,,,AGRONOMY,1
2018,Agri Sci & Natl Res,B1AG,PI,M,AGRO,,,AGRONOMY,1
2018,Agri Sci & Natl Res,B1AG,WH,F,AGRO,,,AGRONOMY,5
2018,Agri Sci & Natl Res,B1AG,WH,M,AGRO,,,AGRONOMY,39
2018,Agri Sci & Natl Res,B1AS,ASI,F,ASCI,,,ANIMAL SCIENCE,3
2018,Agri Sci & Natl Res,B1AS,HISP,F,ASCI,,,ANIMAL SCIENCE,2
2018,Agri Sci & Natl Res,B1AS,NRA,F,ASCI,,,ANIMAL SCIENCE,2
2018,Agri Sci & Natl Res,B1AS,2+,F,ASCI,,,ANIMAL SCIENCE,2
2018,Agri Sci & Natl Res,B1AS,2+,M,ASCI,,,ANIMAL SCIENCE,1
2018,Agri Sci & Natl Res,B1AS,WH,F,ASCI,,,ANIMAL SCIENCE,60
2018,Agri Sci & Natl Res,B1AS,WH,M,ASCI,,,ANIMAL SCIENCE,31
