"","Full.Name","Place","Tires","Car.Make","Car.Model","Car.Year","Course","Run","Time","Run.Rank"
"58","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R1",80.032,2
"59","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C1","R1",79.111,2
"60","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C1","R2",69.058,2
"61","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C1","R2",69.103,1
"62","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C1","R2",69.338,2
"63","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C1","R2",69.223,1
"64","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C1","R2",69.678,1
"65","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C1","R2",69.654,1
"66","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C1","R2",69.93,2
"67","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C1","R2",76.154,3
"68","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C1","R2",69.958,1
"69","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C1","R2",69.481,1
"70","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C1","R2",69.633,1
"71","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C1","R2",69.767,2
"72","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C1","R2",69.831,2
"73","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R2",70.416,2
"74","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C1","R2",70.844,3
"75","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C1","R2",70.309,2
"76","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C1","R2",70.672,2
"77","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R2",70.087,2
"78","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C1","R2",72.101,2
"79","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C1","R2",70.315,2
"80","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C1","R2",74.219,2
"81","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C1","R2",71.167,2
"82","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C1","R2",69.868,1
"83","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C1","R2",70.762,2
"84","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R2",70.645,2
"85","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C1","R2",74.229,3
"86","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C1","R2",74.485,2
"87","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C1","R2",70.856,2
"88","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C1","R2",70.855,1
"89","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R2",71.805,2
"90","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C1","R2",71.484,2
"91","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C1","R2",74.369,3
"92","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C1","R2",74.085,3
"93","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R2",72.189,2
"94","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C1","R2",71.165,1
