Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2016,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,108
2016,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,22
2016,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,123
2016,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2016,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,52.99999998
2016,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,73
2016,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2016,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,68
2016,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,98.99999999
2016,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,119.9999999
2016,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,277.9999999
2016,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,218
2016,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,33
2016,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2016,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,18
2016,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,16
2016,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,193
2016,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,35
2016,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,63
2016,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,140
2016,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2016,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,54
2016,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,46
2016,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,248.9999999
2016,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,328
2016,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,87
2016,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,68
2016,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,6
2016,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2016,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2016,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
