Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2008,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,138
2008,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,180
2008,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,154
2008,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2008,Spring,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,900,0
2008,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,900,9
2008,Spring,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,900,0
2008,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,59
2008,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,82
2008,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2008,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,93.00000001
2008,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,78
2008,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,187
2008,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,900,151
2008,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,52
2008,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,241
2008,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2008,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,14
2008,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,654
2008,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,398
2008,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,0
2008,Spring,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,800,0
2008,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,800,108
2008,Spring,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,800,0
2008,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,216
2008,Spring,Agri Sci & Natl Resources,Entomology,Course Level,800,426
2008,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2008,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,151
2008,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,37
2008,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,800,73
2008,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,800,205
2008,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,206
2008,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,318
2008,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,0
2008,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2008,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
