Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2015,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,84
2015,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,11
2015,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,176
2015,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2015,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,90.99999998
2015,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,84.99999996
2015,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,19
2015,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,84.99999999
2015,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,84.99999996
2015,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,270.9999998
2015,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,106
2015,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,24
2015,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2015,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,10
2015,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,563
2015,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,148
2015,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,10
2015,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,97
2015,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,176
2015,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,91
2015,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,21
2015,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,207.9999998
2015,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,279
2015,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,62.99999999
2015,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,40
2015,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,12
2015,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2015,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2015,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2015,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
