Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2016,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,117
2016,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,164
2016,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,134
2016,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,11
2016,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,211.9999998
2016,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,96.99999996
2016,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2016,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,78
2016,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,198.9999999
2016,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,193
2016,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,314.9999997
2016,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,82.99999999
2016,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,44
2016,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2016,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,6
2016,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,575
2016,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,421
2016,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,105
2016,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,190
2016,Spring,Agri Sci & Natl Resources,Entomology,Course Level,800,408
2016,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2016,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,93
2016,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,144
2016,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,800,321.9999998
2016,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,650.9999999
2016,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,223
2016,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,207
2016,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,49
2016,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2016,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,713
2016,Spring,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2016,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,352
2016,Spring,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2016,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
