Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2015,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,93.99999998
2015,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,245
2015,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,207
2015,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,52
2015,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,900,0
2015,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,183.9999999
2015,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,106.9999999
2015,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2015,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,95
2015,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,171
2015,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,130
2015,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,347.9999997
2015,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,53.99999999
2015,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,51
2015,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2015,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,13
2015,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,666
2015,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,343
2015,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,29
2015,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,800,0
2015,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,193
2015,Spring,Agri Sci & Natl Resources,Entomology,Course Level,800,466
2015,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2015,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,116
2015,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,154
2015,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,800,190.9999999
2015,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,448.9999999
2015,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,142
2015,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,191
2015,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,26
2015,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2015,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,723
2015,Spring,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2015,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,600,0
