Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2010,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,123
2010,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,30
2010,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,97
2010,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,900,12
2010,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,39
2010,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,67
2010,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,118
2010,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,53
2010,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,73
2010,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,900,127
2010,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,2
2010,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,105
2010,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2010,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,22
2010,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,326
2010,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,186
2010,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,800,15
2010,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,14
2010,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,343
2010,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,126
2010,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,70
2010,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,133
2010,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,800,238
2010,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,45
2010,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,136
2010,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,0
2010,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2010,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,0
2010,Summer,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2010,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
