Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,134
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,900,185
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,134
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,900,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,900,13
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,900,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,69
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,900,87.00000001
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,111
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,76
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,900,130
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,900,168
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,43
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,115
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,32
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,800,717
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,372
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,800,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,800,55
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,800,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,197
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,800,276
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,201
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,58
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,800,166
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,800,165
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,112
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,442
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,18
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,378
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,75
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,400,81
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,400,192
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,400,291
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,400,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,400,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,400,258
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,400,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,400,188
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,400,86
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,400,160
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,400,593
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,400,291
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,400,224
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,400,146
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,400,151
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,400,108
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,400,14
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,300,0
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,300,207
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,300,331
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,300,110
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,300,3
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,300,185
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,300,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,300,77
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,300,7
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,300,76
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,300,173
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,300,267
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,300,574
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,300,237
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,300,633
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,300,617
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,300,101
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,200,0
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,200,1731
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,200,403
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,200,3
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,200,132
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,200,339
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,200,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,200,72
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,200,0
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,200,138
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,200,0
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,200,210
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,200,698
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,200,314
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,200,684
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,200,150
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,200,241
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,100,43
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,100,0
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,100,374
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,100,54
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,100,448
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,100,240
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,100,1125
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,100,272
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,100,863
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,100,92
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,100,94
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,100,376
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,100,421
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,100,806
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,100,513
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,100,486
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,100,998
2007,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Statistics,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Entomology,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,<100,0
2007,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,<100,0
2007,Fall,Architecture,Comm & Regional Planning,Course Level,900,33
2007,Fall,Architecture,Architecture - Omaha,Course Level,900,0
2007,Fall,Architecture,Architecture,Course Level,900,0
2007,Fall,Architecture,Comm & Regional Planning,Course Level,800,160
2007,Fall,Architecture,Architecture - Omaha,Course Level,800,0
2007,Fall,Architecture,Architecture,Course Level,800,67
2007,Fall,Architecture,Comm & Regional Planning,Course Level,700,0
2007,Fall,Architecture,Architecture - Omaha,Course Level,700,0
2007,Fall,Architecture,Architecture,Course Level,700,0
2007,Fall,Architecture,Comm & Regional Planning,Course Level,600,0
2007,Fall,Architecture,Architecture - Omaha,Course Level,600,0
2007,Fall,Architecture,Architecture,Course Level,600,272
