Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2014,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,136
2014,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,293
2014,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,188
2014,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,16
2014,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,900,5
2014,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,231.9999999
2014,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,93
2014,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2014,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,166.9999999
2014,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,153
2014,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,215
2014,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,900,268.9999997
2014,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,29
2014,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,60
2014,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2014,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,15
2014,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,699
2014,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,399
2014,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,70
2014,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,800,56
2014,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,201
2014,Spring,Agri Sci & Natl Resources,Entomology,Course Level,800,396
2014,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2014,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,163
2014,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,103
2014,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,800,164.9999999
2014,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,800,463
2014,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,227
2014,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,168
2014,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,29
2014,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2014,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,717
2014,Spring,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Agronomy,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2014,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,325
2014,Spring,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2014,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2014,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
