Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,37
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,36.99999999
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,120
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,73.99999998
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,60.99999999
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,58
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,189.9999999
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,173.9999999
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,295.9999998
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,91.99999999
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,17
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,71
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,219
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,49
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,18
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,182
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,51
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,23
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,189.9999999
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,449
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,117
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,135
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,55
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,400,4
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,400,0
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,400,352
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,400,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,400,0
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,400,3
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,400,59
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,400,12
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,400,0
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,400,29
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,400,12
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,400,3
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,400,372
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,400,462
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,300,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,300,162
2018,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,300,7
2018,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,300,0
2018,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,300,2
2018,Summer,Agri Sci & Natl Resources,Entomology,Course Level,300,0
2018,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,300,0
2018,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,300,3
2018,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,300,222
2018,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,300,50
2018,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,300,8
2018,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,300,249
2018,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,300,150
2018,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,300,188
2018,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,200,0
2018,Summer,Agri Sci & Natl Resources,Statistics,Course Level,200,657
