Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2014,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,42.125
2014,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,11
2014,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,187
2014,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2014,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,900,0
2014,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,22.15555556
2014,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,15.13768115
2014,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2014,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,29.57763975
2014,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,76
2014,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,9.859090909
2014,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,900,40.36504518
2014,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,70.5
2014,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,9
2014,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2014,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,0
2014,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,417
2014,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,184
2014,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,7
2014,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,800,21
2014,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,28.43333333
2014,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,380.6666667
2014,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2014,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,11.6
2014,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,56
2014,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,22.76923077
2014,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,800,112.2823529
2014,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,70
2014,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,49
2014,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,14
2014,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2014,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Horticulture,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Agronomy,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2014,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,0
2014,Summer,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2014,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
