Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2009,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,145
2009,Fall,Agri Sci & Natl Resources,Statistics,Course Level,900,186
2009,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,134
2009,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2009,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,900,0
2009,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,900,13
2009,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,900,0
2009,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,104
2009,Fall,Agri Sci & Natl Resources,Entomology,Course Level,900,116
2009,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2009,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,900,153
2009,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,85
2009,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,900,140
2009,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,900,164
2009,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,82
2009,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,85
2009,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2009,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,37
2009,Fall,Agri Sci & Natl Resources,Statistics,Course Level,800,859
2009,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,507
2009,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,0
2009,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,800,0
2009,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,800,59
2009,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,800,0
2009,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,197
2009,Fall,Agri Sci & Natl Resources,Entomology,Course Level,800,383
2009,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2009,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,800,204
2009,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,110
2009,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,800,179
2009,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,800,205
2009,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,132
2009,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,416
2009,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,0
2009,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Horticulture - Omaha,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Horticulture,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Food Science and Technology - Omaha,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Center for Biological Chemistry,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Agronomy,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2009,Fall,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,676
2009,Fall,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2009,Fall,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2009,Fall,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
