Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,115
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,900,155
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,193
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,12
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,245.9999998
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,900,58.99999999
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,124
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,153.9999999
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,900,208.9999999
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,407.9999993
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,32
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,67
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,3
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,800,790
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,553
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,153
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,180
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,800,452
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,91
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,156
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,800,305.9999998
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,628
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,169
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,184
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,84
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,700,0
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,600,680
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,600,0
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,500,376
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,500,0
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,400,115
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,400,475
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,400,521
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,400,10
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,400,245
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,400,149
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,400,128
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,400,571
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,400,840
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,400,429
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,400,747
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,400,822
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,400,813
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,400,388
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,300,262
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,300,759
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,300,691
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,300,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,300,65
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,300,110
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,300,60
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,300,529
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,300,575
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,300,607
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,300,595
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,300,510
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,300,570
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,300,257
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,200,0
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,200,1491
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,200,716
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,200,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,200,81
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,200,0
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,200,84
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,200,622
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,200,48
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,200,1242
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,200,1375
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,200,1339
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,200,441
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,200,542
2018,Spring,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,100,0
2018,Spring,Agri Sci & Natl Resources,Statistics,Course Level,100,0
2018,Spring,Agri Sci & Natl Resources,School of Natural Resources,Course Level,100,359
2018,Spring,Agri Sci & Natl Resources,Plant Pathology,Course Level,100,0
2018,Spring,Agri Sci & Natl Resources,Food Science & Technology,Course Level,100,1199
2018,Spring,Agri Sci & Natl Resources,Entomology,Course Level,100,764
2018,Spring,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,100,63
2018,Spring,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,100,728
2018,Spring,Agri Sci & Natl Resources,Biological Chemistry,Course Level,100,48
2018,Spring,Agri Sci & Natl Resources,Animal Science,Course Level,100,301
2018,Spring,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,100,1102
2018,Spring,Agri Sci & Natl Resources,Agricultural Economics,Course Level,100,365
2018,Spring,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,100,978
2018,Spring,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,100,5144
