Year,Semester,College/Division,Department ,LEVEL,Level,SCH (w/ zeros)
2017,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,900,54.99999999
2017,Summer,Agri Sci & Natl Resources,Statistics,Course Level,900,18
2017,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,900,121
2017,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,900,0
2017,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,900,82.99999997
2017,Summer,Agri Sci & Natl Resources,Entomology,Course Level,900,41.99999999
2017,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,900,0
2017,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,900,49
2017,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,900,173.9999999
2017,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,900,155.9999999
2017,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,900,323.9999998
2017,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,900,79.99999999
2017,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,900,21
2017,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,900,0
2017,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,800,0
2017,Summer,Agri Sci & Natl Resources,Statistics,Course Level,800,82
2017,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,800,234
2017,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,800,8
2017,Summer,Agri Sci & Natl Resources,Food Science & Technology,Course Level,800,37
2017,Summer,Agri Sci & Natl Resources,Entomology,Course Level,800,202
2017,Summer,Agri Sci & Natl Resources,Center for Grassland Studies,Course Level,800,0
2017,Summer,Agri Sci & Natl Resources,Biological Systems Engineering,Course Level,800,35
2017,Summer,Agri Sci & Natl Resources,Biological Chemistry,Course Level,800,63.99999999
2017,Summer,Agri Sci & Natl Resources,Animal Science,Course Level,800,204.9999999
2017,Summer,Agri Sci & Natl Resources,Agronomy & Horticulture,Course Level,800,306.9999999
2017,Summer,Agri Sci & Natl Resources,Agricultural Economics,Course Level,800,119
2017,Summer,Agri Sci & Natl Resources,Agri Leadership Educ & Comm,Course Level,800,139
2017,Summer,Agri Sci & Natl Resources,Agri & Natl Res - Dean's Office,Course Level,800,18
2017,Summer,Agri Sci & Natl Resources,Veterinary & Biomedical Sciences,Course Level,700,0
2017,Summer,Agri Sci & Natl Resources,Statistics,Course Level,700,0
2017,Summer,Agri Sci & Natl Resources,School of Natural Resources,Course Level,700,0
2017,Summer,Agri Sci & Natl Resources,Plant Pathology,Course Level,700,0
